MSN,YYYY,MM,Value,Column_Order,Description,Unit
FFTCBUS,1982,1,6.640697,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,2,5.750531,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,3,5.740713,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,4,5.27593,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,5,4.829676,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,6,4.78391,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,7,5.028317,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,8,5.047842,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,9,4.823564,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,10,5.017757,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,11,5.241011,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,12,5.655954,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1982,13,63.835377,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,1,6.062504,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,2,5.290891,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,3,5.58921,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,4,5.055553,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,5,4.862973,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,6,4.836114,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,7,5.100754,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,8,5.303409,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,9,4.938737,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,10,4.933914,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,11,5.145302,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,12,5.977512,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1983,13,63.096686,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,1,6.755532,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,2,5.770207,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,3,5.973514,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,4,5.431746,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,5,5.286097,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,6,5.188581,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,7,5.288875,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,8,5.46417,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,9,4.961915,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,10,5.19925,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,11,5.337341,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,12,5.788606,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1984,13,66.444979,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,1,6.42789,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,2,6.03303,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,3,5.710393,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,4,5.302405,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,5,5.146409,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,6,5.033449,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,7,5.309635,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,8,5.395869,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,9,4.925617,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,10,5.207793,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,11,5.228088,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,12,6.315121,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1985,13,66.0349,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,1,6.514033,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,2,5.785886,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,3,5.883728,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,4,5.239137,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,5,5.206938,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,6,5.147695,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,7,5.451039,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,8,5.331362,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,9,4.947904,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,10,5.164399,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,11,5.247547,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,12,6.066258,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1986,13,65.985158,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,1,6.520368,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,2,5.879311,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,3,5.863944,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,4,5.470761,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,5,5.319684,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,6,5.417632,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,7,5.724864,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,8,5.618573,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,9,5.26135,4,Total Fossil Fuels Consumption,Quadrillion Btu
